[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy3 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260920
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[  1] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=浠?鍚?b杌?鐢ㄦ椂 0.95s (score=154 depth=5)
[ 46] 榛?g2h4 (2, 2)->(4, 1)  鐢ㄦ椂 1.53s (score=4 depth=6)
[ 47] 绾?e4e5 (5, 4)->(4, 4)  鐢ㄦ椂 0.84s (score=10 depth=6)
[ 48] 榛?h4i6 (4, 1)->(6, 0) 鍚?r棣?鐢ㄦ椂 1.03s (score=82 depth=7)
[ 49] 绾?i2h4 (7, 8)->(5, 7)  鐢ㄦ椂 1.12s (score=5 depth=6)
[ 50] 榛?c3c4 (3, 6)->(4, 6) 缈诲紑=澹?鐢ㄦ椂 0.98s (score=81 depth=7)
[ 51] 绾?h4f5 (5, 7)->(4, 5)  鐢ㄦ椂 0.76s (score=15 depth=6)
[ 52] 榛?i6g5 (6, 0)->(5, 2)  鐢ㄦ椂 1.47s (score=6 depth=7)
[ 53] 绾?i0i7 (9, 8)->(2, 8) 缈诲紑=鐩?鍚?b鍗?鐢ㄦ椂 0.86s (score=58.714285714285715 depth=6)
[ 54] 榛?c4d3 (4, 6)->(3, 5)  鐢ㄦ椂 1.49s (score=-6 depth=7)
[ 55] 绾?e5e6 (4, 4)->(3, 4)  鐢ㄦ椂 1.30s (score=21 depth=8)
[ 56] 榛?h8f6 (8, 1)->(6, 3)  鐢ㄦ椂 0.85s (score=-25 depth=7)
[ 57] 绾?f5d6 (4, 5)->(3, 3)  鐢ㄦ椂 0.90s (score=2 depth=7)
[ 58] 榛?g5f3 (5, 2)->(3, 3) 鍚?r棣?鐢ㄦ椂 0.67s (score=131 depth=8)
[ 59] 绾?e6d6 (3, 4)->(3, 3) 鍚?b棣?鐢ㄦ椂 0.74s (score=104 depth=7)
[ 60] 榛?i2g0 (2, 0)->(0, 2)  鐢ㄦ椂 1.19s (score=5 depth=7)
[ 61] 绾?d6d7 (3, 3)->(2, 3)  鐢ㄦ椂 1.27s (score=30 depth=7)
[ 62] 榛?d5c6 (5, 5)->(6, 6)  鐢ㄦ椂 1.25s (score=6 depth=7)
[ 63] 绾?e9d9 (0, 4)->(0, 3)  鐢ㄦ椂 1.30s (score=12 depth=7)
[ 64] 榛?f6h8 (6, 3)->(8, 1)  鐢ㄦ椂 0.73s (score=25 depth=7)
[ 65] 绾?d7c7 (2, 3)->(2, 2)  鐢ㄦ椂 1.16s (score=-5 depth=7)
[ 66] 榛?c6d7 (6, 6)->(7, 5)  鐢ㄦ椂 1.52s (score=3 depth=6)
[ 67] 绾?d9d4 (0, 3)->(5, 3)  鐢ㄦ椂 0.87s (score=-26 depth=6)
[ 68] 榛?e1d1 (1, 4)->(1, 5)  鐢ㄦ椂 1.31s (score=-10 depth=7)
[ 69] 绾?i9c9 (0, 8)->(0, 2) 鍚?b璞?鐢ㄦ椂 1.29s (score=37 depth=6)
[ 70] 榛?i4i5 (4, 0)->(5, 0)  鐢ㄦ椂 1.50s (score=10 depth=6)
[ 71] 绾?d4e4 (5, 3)->(5, 4)  鐢ㄦ椂 1.24s (score=4 depth=6)
[ 72] 榛?d3e4 (3, 5)->(4, 4)  鐢ㄦ椂 1.53s (score=6 depth=6)
[ 73] 绾?e4e2 (5, 4)->(7, 4)  鐢ㄦ椂 1.27s (score=10 depth=6)
[ 74] 榛?e4f5 (4, 4)->(5, 3)  鐢ㄦ椂 1.53s (score=7 depth=6)
[ 75] 绾?c9b9 (0, 2)->(0, 1)  鐢ㄦ椂 1.28s (score=3 depth=6)
[ 76] 榛?i5i6 (5, 0)->(6, 0)  鐢ㄦ椂 1.52s (score=13 depth=6)
[ 77] 绾?c7b7 (2, 2)->(2, 1)  鐢ㄦ椂 1.35s (score=0 depth=6)
[ 78] 榛?d7e6 (7, 5)->(6, 4)  鐢ㄦ椂 1.43s (score=-3 depth=7)
[ 79] 绾?i7g5 (2, 8)->(4, 6)  鐢ㄦ椂 0.72s (score=0 depth=6)
[ 80] 榛?i6h6 (6, 0)->(6, 1)  鐢ㄦ椂 1.51s (score=10 depth=6)
[ 81] 绾?g5e3 (4, 6)->(6, 4) 鍚?b澹?鐢ㄦ椂 1.15s (score=86 depth=6)
[ 82] 榛?f5e6 (5, 3)->(6, 4) 鍚?r鐩?鐢ㄦ椂 1.51s (score=16 depth=7)
[ 83] 绾?b9b3 (0, 1)->(6, 1) 鍚?b鍗?鐢ㄦ椂 0.71s (score=18 depth=6)
[ 84] 榛?b1b2 (1, 7)->(2, 7)  鐢ㄦ椂 1.42s (score=1 depth=7)
[ 85] 绾?b3b5 (6, 1)->(4, 1)  鐢ㄦ椂 0.73s (score=0 depth=6)
[ 86] 榛?b2b3 (2, 7)->(3, 7)  鐢ㄦ椂 1.09s (score=8 depth=7)
[ 87] 绾?b5e5 (4, 1)->(4, 4)  鐢ㄦ椂 0.66s (score=4 depth=6)
[ 88] 榛?b3b4 (3, 7)->(4, 7)  鐢ㄦ椂 0.94s (score=22 depth=7)
[ 89] 绾?e2g2 (7, 4)->(7, 6)  鐢ㄦ椂 0.68s (score=-40 depth=6)
[ 90] 榛?d0e1 (0, 5)->(1, 4) 缈诲紑=鐐?鐢ㄦ椂 0.75s (score=37 depth=7)
[ 91] 绾?g2g1 (7, 6)->(8, 6)  鐢ㄦ椂 1.04s (score=28 depth=6)
[ 92] 榛?e1e0 (1, 4)->(0, 4)  鐢ㄦ椂 1.11s (score=-6 depth=7)
[ 93] 绾?g1b1 (8, 6)->(8, 1) 鍚?b璞?鐢ㄦ椂 1.19s (score=54 depth=6)
[ 94] 榛?d1e1 (1, 5)->(1, 4)  鐢ㄦ椂 1.52s (score=10 depth=6)
[ 95] 绾?e5e9 (4, 4)->(0, 4) 鍚?b鐐?鐢ㄦ椂 0.76s (score=139 depth=6)
[ 96] 榛?e1e0 (1, 4)->(0, 4) 鍚?r鐐?鐢ㄦ椂 1.53s (score=190 depth=8)
[ 97] 绾?e1e2 (8, 4)->(7, 4)  鐢ㄦ椂 0.75s (score=15 depth=7)
