[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260951
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[ 47] 绾?a4c6 (5, 0)->(3, 2)  鐢ㄦ椂 1.44s (score=10 depth=6)
[ 48] 榛?i2h3 (2, 0)->(3, 1)  鐢ㄦ椂 0.95s (score=0 depth=6)
[ 49] 绾?h2h8 (7, 7)->(1, 7) 缈诲紑=鐐?鐢ㄦ椂 1.33s (score=80 depth=6)
[ 50] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 0.70s (score=-10 depth=5)
[ 51] 绾?g7e8 (2, 6)->(1, 4) 鍚?b澹?鐢ㄦ椂 1.54s (score=115 depth=5)
[ 52] 榛?e2e3 (2, 4)->(3, 4)  鐢ㄦ椂 1.16s (score=10 depth=6)
[ 53] 绾?e5e3 (4, 4)->(6, 4)  鐢ㄦ椂 1.51s (score=10 depth=5)
[ 54] 榛?e3e4 (3, 4)->(4, 4)  鐢ㄦ椂 1.52s (score=14 depth=6)
[ 55] 绾?a0a9 (9, 0)->(0, 0) 缈诲紑=鍏?鐢ㄦ椂 1.53s (score=81.54545454545455 depth=5)
[ 56] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=鍗?鐢ㄦ椂 0.62s (score=78 depth=6)
[ 57] 绾?a9b9 (0, 0)->(0, 1)  鐢ㄦ椂 1.52s (score=9 depth=5)
[ 58] 榛?f0e0 (0, 3)->(0, 4)  鐢ㄦ椂 0.92s (score=10 depth=6)
[ 59] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=浠?鐢ㄦ椂 1.51s (score=36 depth=5)
[ 60] 榛?a5b5 (5, 8)->(5, 7)  鐢ㄦ椂 1.05s (score=21 depth=6)
[ 61] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=鍏?鐢ㄦ椂 0.75s (score=43 depth=5)
[ 62] 榛?a0a2 (0, 8)->(2, 8) 缈诲紑=鐐?鐢ㄦ椂 1.09s (score=46.0 depth=7)
[ 63] 绾?e8g7 (1, 4)->(2, 6)  鐢ㄦ椂 1.18s (score=-10 depth=6)
[ 64] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 1.13s (score=-10 depth=8)
[ 65] 绾?g7f9 (2, 6)->(0, 5)  鐢ㄦ椂 1.35s (score=12 depth=7)
[ 66] 榛?a2e2 (2, 8)->(2, 4)  鐢ㄦ椂 1.51s (score=13 depth=8)
[ 67] 绾?b9c9 (0, 1)->(0, 2)  鐢ㄦ椂 1.33s (score=1 depth=11)
[ 68] 榛?f0e0 (0, 3)->(0, 4)  鐢ㄦ椂 0.92s (score=10 depth=10)
[ 69] 绾?h8h9 (1, 7)->(0, 7)  鐢ㄦ椂 0.87s (score=2 depth=9)
[ 70] 榛?e0d0 (0, 4)->(0, 5) 鍚?r棣?鐢ㄦ椂 1.41s (score=116 depth=9)
[ 71] 绾?e3e7 (6, 4)->(2, 4) 鍚?b鐐?鐢ㄦ椂 0.96s (score=122 depth=7)
[ 72] 榛?b5b6 (5, 7)->(6, 7)  鐢ㄦ椂 1.51s (score=2 depth=6)
[ 73] 绾?h0g1 (9, 7)->(8, 6)  鐢ㄦ椂 1.51s (score=3 depth=5)
[ 74] 榛?a4a5 (4, 8)->(5, 8)  鐢ㄦ椂 1.52s (score=10 depth=6)
[ 75] 绾?e1f2 (8, 4)->(7, 5)  鐢ㄦ椂 1.13s (score=-5 depth=6)
[ 76] 榛?h3g2 (3, 1)->(2, 2)  鐢ㄦ椂 0.78s (score=-4 depth=7)
[ 77] 绾?f0e1 (9, 5)->(8, 4) 缈诲紑=鐩?鐢ㄦ椂 1.27s (score=39 depth=6)
[ 78] 榛?g2f1 (2, 2)->(1, 3)  鐢ㄦ椂 0.84s (score=4 depth=7)
[ 79] 绾?e7e8 (2, 4)->(1, 4)  鐢ㄦ椂 0.88s (score=7 depth=6)
[ 80] 榛?a5b5 (5, 8)->(5, 7)  鐢ㄦ椂 1.55s (score=21 depth=6)
[ 81] 绾?c9b9 (0, 2)->(0, 1)  鐢ㄦ椂 1.37s (score=-1 depth=6)
[ 82] 榛?b6b7 (6, 7)->(7, 7)  鐢ㄦ椂 1.51s (score=17 depth=6)
[ 83] 绾?g1h2 (8, 6)->(7, 7) 鍚?b鍗?鐢ㄦ椂 0.91s (score=69 depth=6)
[ 84] 榛?d0e0 (0, 5)->(0, 4)  鐢ㄦ椂 0.80s (score=10 depth=6)
[ 85] 绾?h2g1 (7, 7)->(8, 6)  鐢ㄦ椂 1.33s (score=5 depth=6)
[ 86] 榛?e4e5 (4, 4)->(5, 4)  鐢ㄦ椂 0.75s (score=10 depth=6)
[ 87] 绾?e1c3 (8, 4)->(6, 2)  鐢ㄦ椂 1.19s (score=35 depth=6)
[ 88] 榛?e5f5 (5, 4)->(5, 3)  鐢ㄦ椂 1.55s (score=-2 depth=7)
[ 89] 绾?h9h8 (0, 7)->(1, 7)  鐢ㄦ椂 1.54s (score=-2 depth=5)
[ 90] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 1.54s (score=-10 depth=6)
[ 91] 绾?e8e5 (1, 4)->(4, 4)  鐢ㄦ椂 1.53s (score=1 depth=5)
[ 92] 榛?f5f6 (5, 3)->(6, 3)  鐢ㄦ椂 1.53s (score=12 depth=7)
[ 93] 绾?c3a1 (6, 2)->(8, 0)  鐢ㄦ椂 1.54s (score=-10 depth=5)
[ 94] 榛?f6f7 (6, 3)->(7, 3)  鐢ㄦ椂 1.53s (score=30 depth=6)
[ 95] 绾?i2i3 (7, 8)->(6, 8)  鐢ㄦ椂 1.53s (score=8 depth=5)
[ 96] 榛?f7e7 (7, 3)->(7, 4) 鍚?r鍏?鐢ㄦ椂 1.54s (score=23 depth=6)
[ 97] 绾?f2e3 (7, 5)->(6, 4)  鐢ㄦ椂 1.53s (score=-7 depth=5)
[ 98] 榛?h1h2 (1, 1)->(2, 1)  鐢ㄦ椂 1.06s (score=1 depth=7)
[ 99] 绾?e5e2 (4, 4)->(7, 4) 鍚?b鍗?鐢ㄦ椂 1.54s (score=107 depth=5)
[100] 榛?f1g2 (1, 3)->(2, 2)  鐢ㄦ椂 0.60s (score=-4 depth=6)
[101] 绾?b9c9 (0, 1)->(0, 2)  鐢ㄦ椂 1.53s (score=1 depth=5)
[102] 榛?f0f1 (0, 3)->(1, 3)  鐢ㄦ椂 1.48s (score=-20 depth=7)
[103] 绾?c6e8 (3, 2)->(1, 4)  鐢ㄦ椂 1.52s (score=-2 depth=5)
[104] 榛?f1f2 (1, 3)->(2, 3)  鐢ㄦ椂 1.15s (score=-10 depth=7)
[105] 绾?i3i4 (6, 8)->(5, 8)  鐢ㄦ椂 1.53s (score=11 depth=5)
[106] 榛?h2h3 (2, 1)->(3, 1)  鐢ㄦ椂 1.53s (score=8 depth=6)
[107] 绾?i4i5 (5, 8)->(4, 8)  鐢ㄦ椂 1.44s (score=10 depth=6)
[108] 榛?h3h4 (3, 1)->(4, 1)  鐢ㄦ椂 1.09s (score=22 depth=7)
[109] 绾?c9d9 (0, 2)->(0, 3)  鐢ㄦ椂 1.38s (score=2 depth=6)
[110] 榛?b5b6 (5, 7)->(6, 7)  鐢ㄦ椂 1.04s (score=2 depth=7)
[111] 绾?i5h5 (4, 8)->(4, 7)  鐢ㄦ椂 1.52s (score=21 depth=5)
[112] 榛?g2f3 (2, 2)->(3, 3)  鐢ㄦ椂 0.77s (score=4 depth=6)
[113] 绾?e3f2 (6, 4)->(7, 5)  鐢ㄦ椂 1.55s (score=7 depth=5)
[114] 榛?h4h5 (4, 1)->(5, 1)  鐢ㄦ椂 1.55s (score=20 depth=6)
[115] 绾?d9e9 (0, 3)->(0, 4)  鐢ㄦ椂 1.54s (score=0 depth=5)
[116] 榛?b6a6 (6, 7)->(6, 8)  鐢ㄦ椂 1.52s (score=-10 depth=6)
[117] 绾?h5h6 (4, 7)->(3, 7)  鐢ㄦ椂 1.47s (score=2 depth=6)
[118] 榛?a6a7 (6, 8)->(7, 8)  鐢ㄦ椂 1.54s (score=13 depth=6)
[119] 绾?h6h7 (3, 7)->(2, 7)  鐢ㄦ椂 1.17s (score=17 depth=6)
[120] 榛?a7a8 (7, 8)->(8, 8)  鐢ㄦ椂 1.60s (score=15 depth=6)
[121] 绾?a1c3 (8, 0)->(6, 2)  鐢ㄦ椂 1.36s (score=10 depth=5)
[122] 榛?h5h6 (5, 1)->(6, 1)  鐢ㄦ椂 1.53s (score=2 depth=6)
[123] 绾?c3a5 (6, 2)->(4, 0)  鐢ㄦ椂 0.82s (score=0 depth=5)
[124] 榛?h6h7 (6, 1)->(7, 1)  鐢ㄦ椂 1.20s (score=17 depth=6)
[125] 绾?g1f0 (8, 6)->(9, 5)  鐢ㄦ椂 1.59s (score=9 depth=4)
[126] 榛?h7h8 (7, 1)->(8, 1)  鐢ㄦ椂 1.39s (score=10 depth=6)
[127] 绾?a5c3 (4, 0)->(6, 2)  鐢ㄦ椂 0.90s (score=0 depth=5)
[128] 榛?f3g4 (3, 3)->(4, 2)  鐢ㄦ椂 0.90s (score=6 depth=6)
[129] 绾?f2e3 (7, 5)->(6, 4)  鐢ㄦ椂 0.78s (score=-7 depth=5)
[130] 榛?h8g8 (8, 1)->(8, 2)  鐢ㄦ椂 1.27s (score=5 depth=7)
[131] 绾?e2i2 (7, 4)->(7, 8)  鐢ㄦ椂 1.26s (score=-13 depth=6)
[132] 榛?g4f3 (4, 2)->(3, 3)  鐢ㄦ椂 0.69s (score=-6 depth=7)
[133] 绾?i2e2 (7, 8)->(7, 4)  鐢ㄦ椂 1.34s (score=13 depth=6)
[134] 榛?g8f8 (8, 2)->(8, 3)  鐢ㄦ椂 1.18s (score=12 depth=7)
[135] 绾?e3f2 (6, 4)->(7, 5)  鐢ㄦ椂 1.54s (score=7 depth=5)
[136] 榛?f3g4 (3, 3)->(4, 2)  鐢ㄦ椂 1.36s (score=6 depth=8)
[137] 绾?c3a5 (6, 2)->(4, 0)  鐢ㄦ椂 1.09s (score=0 depth=6)
[138] 榛?g4f5 (4, 2)->(5, 3)  鐢ㄦ椂 1.53s (score=7 depth=7)
[139] 绾?a5c7 (4, 0)->(2, 2)  鐢ㄦ椂 0.79s (score=10 depth=6)
[140] 榛?a8a9 (8, 8)->(9, 8)  鐢ㄦ椂 1.53s (score=0 depth=6)
[141] 绾?e2b2 (7, 4)->(7, 1)  鐢ㄦ椂 1.03s (score=-14 depth=6)
[142] 榛?f8f9 (8, 3)->(9, 3)  鐢ㄦ椂 1.09s (score=-14 depth=11)
[143] 绾?e0e1 (9, 4)->(8, 4)  鐢ㄦ椂 1.47s (score=-20 depth=12)
[144] 榛?f5e6 (5, 3)->(6, 4)  鐢ㄦ椂 1.02s (score=6 depth=10)
[145] 绾?b2b7 (7, 1)->(2, 1)  鐢ㄦ椂 0.02s (score=1 depth=12)
[146] 榛?e6d7 (6, 4)->(7, 5) 鍚?r浠?鐢ㄦ椂 0.01s (score=103 depth=12)
[147] 绾?b7d7 (2, 1)->(2, 3) 鍚?b灏?鐢ㄦ椂 0.02s (score=3696 depth=12)

========================================================
瀵瑰眬缁撴灉
========================================================
鑳滆€? pypy (绾㈡柟)
鍘熷洜: 绗?147 鐫€鍚冩帀 灏? 鑾疯儨
鎬绘鏁? 147 鐫€, 鍏ㄥ眬澧欓挓 176.8s

鍙屾柟鐢ㄦ椂:
  pypy  (绾㈡柟):  74 鐫€  鎬荤敤鏃?   92.5s  骞冲潎  1.25s  鏈€闀?  1.59s
  pypy57 (榛戞柟):  73 鐫€  鎬荤敤鏃?   84.0s  骞冲潎  1.15s  鏈€闀?  1.60s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260820_221750.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 路 路 路 r鍏?路 路 路 路
 1 | 路 路 路 路 r鐩?路 路 r鐐?路
 2 | 路 路 r鐩?r鐐?路 路 路 r鍏?路
 3 | 路 路 路 路 路 路 路 路 路
 4 | 路 路 路 路 路 路 路 路 路
 5 | 路 路 路 路 路 路 路 路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 路 路 b澹?路 路 路
 8 | 路 路 路 路 r甯?路 路 路 路
 9 | 路 路 路 b鍗?路 r浠?路 路 b鍗?
